"company","role","job category","job listing url","application date","status","last-checked date","first contact date","number of interviews","final response","final response date"
"Break-A-Bear Teddy Bear Disposal","","","","","","","","0","",""
"Earth, Wind, and Tires","Cashier","Sales Person","","","","","","0","",""
"The Nightlight Zone","","","","","","","","0","",""
"That's A-Door-A-Bell Doorbells","","","","","","","","0","",""
"Rocky Refuge Raccoon Sanctuary","","","","","","","","0","",""
"Miles of Vials","","","","","","","","0","",""
"Cane You Dig It? Candy Cane Outlet","","","","","","","","0","",""
"Betty's Machetes","","","","","","","","0","",""
"Gift Rappers Free Style Gift Wrapping","","","","","","","","0","",""
"Happily Ever Actor Casting Agency","","","","","","","","0","",""
"A Unicycle Built For Two: Tandem Unicycles","","","","","","","","0","",""
"Takes All Rinds Composting Center","Compost Turner","Maintenance Worker","","","","","","0","",""
"North by North Vest","Vested Seller","Sales Person","","","","","","0","",""
"You Cant Handle the Ruth Baseball Cards","","Sales Person","","","","","","0","",""
"Meet the Patents Patent Attorney","Legal Filing Associate","Paralegal","","","","","","0","",""
"Extra Moist Yoga","Assistant Yogi","Personal Trainer","","","","","","0","",""
"Tire-Rhea","Associate Teller","Sales Person","","","","","","0","",""
"Tandemonium: All Your Tandem Bike Needs","","","","","","","","0","",""
"Cupid's Stupid Divorce Attorneys","","","","","","","","0","",""
"Carl's Pre-Owned Indoor Outhouses","","","","","","","","0","",""
"Blood Bath and Beyond Red Bathroom Products","","","","","","","","0","",""
"Don’t Go Chasing Waterbeds","","","","","","","","0","",""
"Grindecologist Coffee Shop","","","","","","","","0","",""
"Lady and the Clamp Hardware for Her","","","","","","","","0","",""
"Resisting A Rest Sleep Therapy","","","","","","","","0","",""
